DATA,RISCO_PAIS
2020-05-21,405
2020-05-20,420
2020-05-19,429
2020-05-18,427
2020-05-15,451
2020-05-14,450
2020-05-13,438
2020-05-12,420
2020-05-11,414
2020-05-08,419
2020-05-07,432
2020-05-06,429
2020-05-05,423
2020-05-04,426
2020-05-01,422
2020-04-30,422
2020-04-29,446
2020-04-28,470
2020-04-27,475
2020-04-24,473
2020-04-23,442
2020-04-22,426
2020-04-21,421
2020-04-20,403
2020-04-17,397
2020-04-16,400
2020-04-15,394
2020-04-14,366
2020-04-13,374
2020-04-09,390
2020-04-08,415
2020-04-07,418
2020-04-06,437
2020-04-03,445
2020-04-02,427
2020-04-01,414
2020-03-31,389
2020-03-30,393
2020-03-27,375
2020-03-26,343
2020-03-25,370
2020-03-24,427
2020-03-23,476
2020-03-20,453
2020-03-19,465
2020-03-18,441
2020-03-17,374
2020-03-16,395
2020-03-13,335
2020-03-12,367
2020-03-11,302
2020-03-10,284
2020-03-09,312
2020-03-06,262
2020-03-05,239
2020-03-04,223
2020-03-03,240
2020-03-02,247
2020-02-28,252
2020-02-27,233
2020-02-26,218
2020-02-25,214
2020-02-24,208
2020-02-21,202
2020-02-20,193
2020-02-19,189
2020-02-18,198
2020-02-17,196
2020-02-14,196
2020-02-13,203
2020-02-12,203
2020-02-11,209
2020-02-10,216
2020-02-07,217
2020-02-06,213
2020-02-05,214
2020-02-04,219
2020-02-03,226
2020-01-31,225
2020-01-30,224
2020-01-29,225
2020-01-28,227
2020-01-27,232
2020-01-24,225
2020-01-23,220
2020-01-22,216
2020-01-21,214
2020-01-20,209
2020-01-17,209
2020-01-16,211
2020-01-15,217
2020-01-14,215
2020-01-13,213
2020-01-10,213
2020-01-09,215
2020-01-08,215
2020-01-07,220
2020-01-06,222
2020-01-03,225
2020-01-02,218
2019-12-31,214
2019-12-30,215
2019-12-27,215
2019-12-26,214
2019-12-24,215
2019-12-23,212
2019-12-20,214
2019-12-19,213
2019-12-18,208
2019-12-17,211
2019-12-16,212
2019-12-13,218
2019-12-12,215
2019-12-11,230
2019-12-10,228
2019-12-09,231
2019-12-06,231
2019-12-05,238
2019-12-04,240
2019-12-03,250
2019-12-02,240
2019-11-29,239
2019-11-28,244
2019-11-27,244
2019-11-26,246
2019-11-25,242
2019-11-22,241
2019-11-21,245
2019-11-20,249
2019-11-19,246
2019-11-18,240
2019-11-15,238
2019-11-14,238
2019-11-13,235
2019-11-12,232
2019-11-11,229
2019-11-08,229
2019-11-07,230
2019-11-06,235
2019-11-05,231
2019-11-04,229
2019-11-01,231
2019-10-31,240
2019-10-30,237
2019-10-29,228
2019-10-28,227
2019-10-25,231
2019-10-24,235
2019-10-23,237
2019-10-22,237
2019-10-21,235
2019-10-18,238
2019-10-17,238
2019-10-16,239
2019-10-15,237
2019-10-14,240
2019-10-11,240
2019-10-10,247
2019-10-09,255
2019-10-08,262
2019-10-07,259
2019-10-04,264
2019-10-03,264
2019-10-02,259
2019-10-01,252
2019-09-30,247
2019-09-27,246
2019-09-26,243
2019-09-25,240
2019-09-24,243
2019-09-23,234
2019-09-20,232
2019-09-19,227
2019-09-18,225
2019-09-17,227
2019-09-16,224
2019-09-13,219
2019-09-12,222
2019-09-11,228
2019-09-10,229
2019-09-09,234
2019-09-06,240
2019-09-05,238
2019-09-04,247
2019-09-03,249
2019-09-02,248
2019-08-30,248
2019-08-29,247
2019-08-28,252
2019-08-27,250
2019-08-26,245
2019-08-23,246
2019-08-22,240
2019-08-21,244
2019-08-20,247
2019-08-19,243
2019-08-16,248
2019-08-15,251
2019-08-14,244
2019-08-13,236
2019-08-12,239
2019-08-09,226
2019-08-08,229
2019-08-07,232
2019-08-06,233
2019-08-05,235
2019-08-02,222
2019-08-01,221
2019-07-31,212
2019-07-30,209
2019-07-29,207
2019-07-26,207
2019-07-25,208
2019-07-24,213
2019-07-23,213
2019-07-22,216
2019-07-19,220
2019-07-18,222
2019-07-17,221
2019-07-16,215
2019-07-15,217
2019-07-12,217
2019-07-11,218
2019-07-10,224
2019-07-09,228
2019-07-08,232
2019-07-05,233
2019-07-04,238
2019-07-03,238
2019-07-02,238
2019-07-01,234
2019-06-28,239
2019-06-27,242
2019-06-26,240
2019-06-25,243
2019-06-24,239
2019-06-21,236
2019-06-20,237
2019-06-19,246
2019-06-18,247
2019-06-17,252
2019-06-14,250
2019-06-13,248
2019-06-12,247
2019-06-11,248
2019-06-10,250
2019-06-07,254
2019-06-06,255
2019-06-05,256
2019-06-04,261
2019-06-03,276
2019-05-31,274
2019-05-30,270
2019-05-29,269
2019-05-28,267
2019-05-27,265
2019-05-24,265
2019-05-23,266
2019-05-22,258
2019-05-21,257
2019-05-20,260
2019-05-17,263
2019-05-16,261
2019-05-15,260
2019-05-14,256
2019-05-13,260
2019-05-10,252
2019-05-09,253
2019-05-08,250
2019-05-07,255
2019-05-06,250
2019-05-03,248
2019-05-02,250
2019-05-01,250
2019-04-30,252
2019-04-29,248
2019-04-26,252
2019-04-25,252
2019-04-24,251
2019-04-23,247
2019-04-22,250
2019-04-19,253
2019-04-18,253
2019-04-17,249
2019-04-16,248
2019-04-15,254
2019-04-12,252
2019-04-11,253
2019-04-10,253
2019-04-09,251
2019-04-08,250
2019-04-05,250
2019-04-04,250
2019-04-03,249
2019-04-02,253
2019-04-01,248
2019-03-29,253
2019-03-28,258
2019-03-27,262
2019-03-26,255
2019-03-25,255
2019-03-22,255
2019-03-21,239
2019-03-20,240
2019-03-19,240
2019-03-18,242
2019-03-15,246
2019-03-14,245
2019-03-13,249
2019-03-12,245
2019-03-11,243
2019-03-08,251
2019-03-07,249
2019-03-06,245
2019-03-05,242
2019-03-04,240
2019-03-01,236
2019-02-28,235
2019-02-27,236
2019-02-26,239
2019-02-25,240
2019-02-22,241
2019-02-21,242
2019-02-20,241
2019-02-19,241
2019-02-18,241
2019-02-15,241
2019-02-14,240
2019-02-13,242
2019-02-12,244
2019-02-11,250
2019-02-08,249
2019-02-07,245
2019-02-06,239
2019-02-05,232
2019-02-04,234
2019-02-01,237
2019-01-31,238
2019-01-30,240
2019-01-29,244
2019-01-28,240
2019-01-25,239
2019-01-24,246
2019-01-23,247
2019-01-22,252
2019-01-21,245
2019-01-18,245
2019-01-17,255
2019-01-16,255
2019-01-15,255
2019-01-14,258
2019-01-11,258
2019-01-10,254
2019-01-09,250
2019-01-08,254
2019-01-07,256
2019-01-04,264
2019-01-03,278
2019-01-02,275
2018-12-31,276
2018-12-28,272
2018-12-27,274
2018-12-26,273
2018-12-24,276
2018-12-21,273
2018-12-20,268
2018-12-19,270
2018-12-18,265
2018-12-17,260
2018-12-14,261
2018-12-13,258
2018-12-12,261
2018-12-11,270
2018-12-10,276
2018-12-07,274
2018-12-06,277
2018-12-05,274
2018-12-04,274
2018-12-03,267
2018-11-30,270
2018-11-29,272
2018-11-28,272
2018-11-27,280
2018-11-26,276
2018-11-23,274
2018-11-22,271
2018-11-21,271
2018-11-20,273
2018-11-19,267
2018-11-16,263
2018-11-15,261
2018-11-14,263
2018-11-13,262
2018-11-12,254
2018-11-09,254
2018-11-08,251
2018-11-07,247
2018-11-06,249
2018-11-05,247
2018-11-02,248
2018-11-01,254
2018-10-31,260
2018-10-30,263
2018-10-29,267
2018-10-26,266
2018-10-25,264
2018-10-24,269
2018-10-23,260
2018-10-22,260
2018-10-19,262
2018-10-18,264
2018-10-17,255
2018-10-16,256
2018-10-15,261
2018-10-12,266
2018-10-11,272
2018-10-10,268
2018-10-09,260
2018-10-08,272
2018-10-05,272
2018-10-04,278
2018-10-03,273
2018-10-02,285
2018-10-01,296
2018-09-28,293
2018-09-27,291
2018-09-26,294
2018-09-25,295
2018-09-24,293
2018-09-21,287
2018-09-20,309
2018-09-19,328
2018-09-18,335
2018-09-17,337
2018-09-14,334
2018-09-13,334
2018-09-12,332
2018-09-11,336
2018-09-10,329
2018-09-07,323
2018-09-06,332
2018-09-05,338
2018-09-04,349
2018-09-03,345
2018-08-31,345
2018-08-30,343
2018-08-29,335
2018-08-28,330
2018-08-27,329
2018-08-24,332
2018-08-23,332
2018-08-22,323
2018-08-21,311
2018-08-20,308
2018-08-17,305
2018-08-16,302
2018-08-15,306
2018-08-14,300
2018-08-13,306
2018-08-10,301
2018-08-09,285
2018-08-08,277
2018-08-07,275
2018-08-06,272
2018-08-03,270
2018-08-02,273
2018-08-01,271
2018-07-31,267
2018-07-30,266
2018-07-27,264
2018-07-26,267
2018-07-25,271
2018-07-24,276
2018-07-23,277
2018-07-20,280
2018-07-19,297
2018-07-18,292
2018-07-17,295
2018-07-16,295
2018-07-13,298
2018-07-12,299
2018-07-11,301
2018-07-10,296
2018-07-09,303
2018-07-06,312
2018-07-05,319
2018-07-04,327
2018-07-03,327
2018-07-02,331
2018-06-29,332
2018-06-28,332
2018-06-27,332
2018-06-26,320
2018-06-25,323
2018-06-22,318
2018-06-21,325
2018-06-20,333
2018-06-19,345
2018-06-18,343
2018-06-15,333
2018-06-14,334
2018-06-13,330
2018-06-12,332
2018-06-11,330
2018-06-08,325
2018-06-07,330
2018-06-06,311
2018-06-05,304
2018-06-04,300
2018-06-01,309
2018-05-31,307
2018-05-30,295
2018-05-29,297
2018-05-28,271
2018-05-25,271
2018-05-24,268
2018-05-23,265
2018-05-22,265
2018-05-21,270
2018-05-18,274
2018-05-17,261
2018-05-16,257
2018-05-15,260
2018-05-14,255
2018-05-11,254
2018-05-10,252
2018-05-09,264
2018-05-08,269
2018-05-07,262
2018-05-04,261
2018-05-03,263
2018-05-02,256
2018-05-01,250
2018-04-30,250
2018-04-27,249
2018-04-26,244
2018-04-25,243
2018-04-24,242
2018-04-23,243
2018-04-20,243
2018-04-19,245
2018-04-18,244
2018-04-17,247
