ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART
ABEV3,AMBEV S/A,ON,4.354.228.928,"3,442"
AZUL4,AZUL,PN      N2,317.471.474,"0,316"
B3SA3,B3,ON      NM,2.046.021.644,"6,045"
BBAS3,BRASIL,ON      NM,1.418.466.803,"2,723"
BBDC3,BRADESCO,ON      N1,1.253.093.907,"1,436"
BBDC4,BRADESCO,PN      N1,4.261.649.634,"5,380"
BBSE3,BBSEGURIDADE,ON      NM,671.601.167,"1,063"
BEEF3,MINERVA,ON      NM,259.260.688,"0,224"
BPAC11,BTGP BANCO,UNT     N2,201.102.231,"0,624"
BRAP4,BRADESPAR,PN      N1,222.089.397,"0,518"
BRDT3,PETROBRAS BR,ON      NM,728.125.000,"0,987"
BRFS3,BRF SA,ON      NM,811.416.229,"1,189"
BRKM5,BRASKEM,PNA     N1,264.632.416,"0,463"
BRML3,BR MALLS PAR,ON      NM,843.313.591,"0,548"
BTOW3,B2W DIGITAL,ON      NM,194.807.150,"1,117"
CCRO3,CCR SA,ON      NM,1.115.695.556,"1,012"
CIEL3,CIELO,ON      NM,1.118.386.806,"0,257"
CMIG4,CEMIG,PN      N1,966.005.862,"0,609"
COGN3,COGNA ON,ON      NM,1.829.322.117,"0,529"
CPFE3,CPFL ENERGIA,ON      NM,170.209.781,"0,350"
CRFB3,CARREFOUR BR,ON  EJ  NM,384.888.219,"0,456"
CSAN3,COSAN,ON      NM,153.417.832,"0,651"
CSNA3,SID NACIONAL,ON,642.387.288,"0,368"
CVCB3,CVC BRASIL,ON      NM,145.617.442,"0,122"
CYRE3,CYRELA REALT,ON      NM,281.154.098,"0,282"
ECOR3,ECORODOVIAS,ON      NM,171.079.276,"0,137"
EGIE3,ENGIE BRASIL,ON      NM,254.813.401,"0,674"
ELET3,ELETROBRAS,ON      N1,358.028.908,"0,613"
ELET6,ELETROBRAS,PNB     N1,240.022.548,"0,450"
EMBR3,EMBRAER,ON      NM,736.171.905,"0,320"
ENBR3,ENERGIAS BR,ON      NM,295.402.225,"0,324"
ENGI11,ENERGISA,UNT     N2,250.709.436,"0,726"
EQTL3,EQUATORIAL,ON      NM,1.010.186.085,"1,226"
FLRY3,FLEURY,ON      NM,305.126.422,"0,457"
GGBR4,GERDAU,PN      N1,1.031.246.473,"0,805"
GNDI3,INTERMEDICA,ON      NM,458.380.483,"1,747"
GOAU4,GERDAU MET,PN      N1,662.644.908,"0,238"
GOLL4,GOL,PN      N2,134.613.917,"0,111"
HAPV3,HAPVIDA,ON      NM,217.060.254,"0,763"
HGTX3,CIA HERING,ON      NM,126.302.831,"0,110"
HYPE3,HYPERA,ON      NM,407.518.048,"0,779"
IGTA3,IGUATEMI,ON      NM,86.913.923,"0,191"
IRBR3,IRBBRASIL RE,ON      NM,923.377.994,"0,446"
ITSA4,ITAUSA,PN      N1,4.494.029.326,"2,681"
ITUB4,ITAUUNIBANCO,PN      N1,4.738.562.684,"7,325"
JBSS3,JBS,ON      NM,1.620.646.499,"2,253"
KLBN11,KLABIN S/A,UNT     N2,637.772.642,"0,824"
LAME4,LOJAS AMERIC,PN      N1,696.190.451,"1,188"
LREN3,LOJAS RENNER,ON      NM,785.308.019,"1,976"
MGLU3,MAGAZ LUIZA,ON      NM,661.834.080,"2,569"
MRFG3,MARFRIG,ON      NM,423.143.092,"0,360"
MRVE3,MRV,ON      NM,294.706.737,"0,297"
MULT3,MULTIPLAN,ON      N2,270.279.854,"0,386"
NTCO3,GRUPO NATURA,ON      NM,706.484.775,"1,622"
PCAR3,P.ACUCAR-CBD,ON      NM,156.575.731,"0,603"
PETR3,PETROBRAS,ON      N2,2.949.857.480,"3,877"
PETR4,PETROBRAS,PN      N2,4.520.185.835,"5,682"
QUAL3,QUALICORP,ON      NM,281.558.308,"0,423"
RADL3,RAIADROGASIL,ON      NM,207.425.426,"1,474"
RAIL3,RUMO S.A.,ON      NM,1.053.753.059,"1,482"
RENT3,LOCALIZA,ON      NM,593.233.155,"1,446"
SANB11,SANTANDER BR,UNT,362.227.661,"0,600"
SBSP3,SABESP,ON      NM,339.982.576,"1,011"
SULA11,SUL AMERICA,UNT     N2,278.742.752,"0,774"
SUZB3,SUZANO S.A.,ON      NM,725.859.318,"1,887"
TAEE11,TAESA,UNT EDJ N2,218.568.274,"0,411"
TIMP3,TIM PART S/A,ON      NM,807.711.660,"0,696"
TOTS3,TOTVS,ON      NM,403.397.655,"0,536"
UGPA3,ULTRAPAR,ON      NM,1.086.422.872,"1,178"
USIM5,USIMINAS,PNA     N1,513.781.576,"0,163"
VALE3,VALE,ON      NM,3.292.010.807,"11,142"
VIVT4,TELEF BRASIL,PN,415.131.868,"1,312"
VVAR3,VIAVAREJO,ON      NM,1.146.662.628,"0,749"
WEGE3,WEG,ON      NM,689.271.972,"1,728"
YDUQ3,YDUQS PART,ON      NM,299.667.897,"0,517"
