ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART
ABEV3,AMBEV S/A,ON,4354228928,3.442
AZUL4,AZUL,PN      N2,317471474,0.316
B3SA3,B3,ON      NM,2046021644,6.045
BBAS3,BRASIL,ON      NM,1418466803,2.723
BBDC3,BRADESCO,ON      N1,1253093907,1.436
BBDC4,BRADESCO,PN      N1,4261649634,5.38
BBSE3,BBSEGURIDADE,ON      NM,671601167,1.063
BEEF3,MINERVA,ON      NM,259260688,0.224
BPAC11,BTGP BANCO,UNT     N2,201102231,0.624
BRAP4,BRADESPAR,PN      N1,222089397,0.518
BRDT3,PETROBRAS BR,ON      NM,728125000,0.987
BRFS3,BRF SA,ON      NM,811416229,1.189
BRKM5,BRASKEM,PNA     N1,264632416,0.463
BRML3,BR MALLS PAR,ON      NM,843313591,0.548
BTOW3,B2W DIGITAL,ON      NM,194807150,1.117
CCRO3,CCR SA,ON      NM,1115695556,1.012
CIEL3,CIELO,ON      NM,1118386806,0.257
CMIG4,CEMIG,PN      N1,966005862,0.609
COGN3,COGNA ON,ON      NM,1829322117,0.529
CPFE3,CPFL ENERGIA,ON      NM,170209781,0.35
CRFB3,CARREFOUR BR,ON  EJ  NM,384888219,0.456
CSAN3,COSAN,ON      NM,153417832,0.651
CSNA3,SID NACIONAL,ON,642387288,0.368
CVCB3,CVC BRASIL,ON      NM,145617442,0.122
CYRE3,CYRELA REALT,ON      NM,281154098,0.282
ECOR3,ECORODOVIAS,ON      NM,171079276,0.137
EGIE3,ENGIE BRASIL,ON      NM,254813401,0.674
ELET3,ELETROBRAS,ON      N1,358028908,0.613
ELET6,ELETROBRAS,PNB     N1,240022548,0.45
EMBR3,EMBRAER,ON      NM,736171905,0.32
ENBR3,ENERGIAS BR,ON      NM,295402225,0.324
ENGI11,ENERGISA,UNT     N2,250709436,0.726
EQTL3,EQUATORIAL,ON      NM,1010186085,1.226
FLRY3,FLEURY,ON      NM,305126422,0.457
GGBR4,GERDAU,PN      N1,1031246473,0.805
GNDI3,INTERMEDICA,ON      NM,458380483,1.747
GOAU4,GERDAU MET,PN      N1,662644908,0.238
GOLL4,GOL,PN      N2,134613917,0.111
HAPV3,HAPVIDA,ON      NM,217060254,0.763
HGTX3,CIA HERING,ON      NM,126302831,0.11
HYPE3,HYPERA,ON      NM,407518048,0.779
IGTA3,IGUATEMI,ON      NM,86913923,0.191
IRBR3,IRBBRASIL RE,ON      NM,923377994,0.446
ITSA4,ITAUSA,PN      N1,4494029326,2.681
ITUB4,ITAUUNIBANCO,PN      N1,4738562684,7.325
JBSS3,JBS,ON      NM,1620646499,2.253
KLBN11,KLABIN S/A,UNT     N2,637772642,0.824
LAME4,LOJAS AMERIC,PN      N1,696190451,1.188
LREN3,LOJAS RENNER,ON      NM,785308019,1.976
MGLU3,MAGAZ LUIZA,ON      NM,661834080,2.569
MRFG3,MARFRIG,ON      NM,423143092,0.36
MRVE3,MRV,ON      NM,294706737,0.297
MULT3,MULTIPLAN,ON      N2,270279854,0.386
NTCO3,GRUPO NATURA,ON      NM,706484775,1.622
PCAR3,P.ACUCAR-CBD,ON      NM,156575731,0.603
PETR3,PETROBRAS,ON      N2,2949857480,3.877
PETR4,PETROBRAS,PN      N2,4520185835,5.682
QUAL3,QUALICORP,ON      NM,281558308,0.423
RADL3,RAIADROGASIL,ON      NM,207425426,1.474
RAIL3,RUMO S.A.,ON      NM,1053753059,1.482
RENT3,LOCALIZA,ON      NM,593233155,1.446
SANB11,SANTANDER BR,UNT,362227661,0.6
SBSP3,SABESP,ON      NM,339982576,1.011
SULA11,SUL AMERICA,UNT     N2,278742752,0.774
SUZB3,SUZANO S.A.,ON      NM,725859318,1.887
TAEE11,TAESA,UNT EDJ N2,218568274,0.411
TIMP3,TIM PART S/A,ON      NM,807711660,0.696
TOTS3,TOTVS,ON      NM,403397655,0.536
UGPA3,ULTRAPAR,ON      NM,1086422872,1.178
USIM5,USIMINAS,PNA     N1,513781576,0.163
VALE3,VALE,ON      NM,3292010807,11.142
VIVT4,TELEF BRASIL,PN,415131868,1.312
VVAR3,VIAVAREJO,ON      NM,1146662628,0.749
WEGE3,WEG,ON      NM,689271972,1.728
YDUQ3,YDUQS PART,ON      NM,299667897,0.517
